candidate_id,full_name,gender,age,graduation_year,college,degree,branch,cgpa,backlogs,gap_year,prior_internship,projects_count,certifications_count,top_skills,platform,company_applied,sector,job_role,work_type,job_location,application_date,hiring_stage,interview_rounds,response_time_days,offered_salary_inr,linkedin_connections,profile_completion_pct,linkedin_premium,referral_applied
1,Deepika Shukla,Female,23,2021,BITS Goa,B.E.,Electrical,5.89,3,Yes,Yes,1,4,Ruby on Rails | Data Analysis,AngelList,Fractal Analytics,EdTech,QA Engineer,Internship,Bengaluru,2021-11-23,Technical Interview,3,22,,1188,64,N/A,No
2,Piyush Reddy,Male,25,2022,IIEST Shibpur,B.Sc (IT),Information Technology,8.78,0,No,Yes,4,2,TypeScript | Data Analysis | Bash Scripting | React,LinkedIn,ICICI Bank,FinTech,Product Manager,Contract,Ahmedabad,2021-07-26,Shortlisted,,30,,2653,78,Yes,No
3,Itisha Arora,Female,21,2024,BIT Mesra Ranchi,BCA,Computer Applications,6.24,3,No,No,5,4,MATLAB | Git | JavaScript,Naukri,Tech Mahindra,FinTech,HR Executive,Full-time,Delhi NCR,2022-03-09,Rejected,4,37,,2990,75,N/A,No
4,Darshan Dey,Male,22,2022,BITS Goa,B.Sc (CS),Computer Science,8.86,3,No,Yes,1,1,Node.js | JavaScript | MongoDB | Azure | Hive,LinkedIn,Absolutdata,Automotive,Business Analyst,Full-time,Coimbatore,2023-08-17,Online Assessment,,36,,97,98,No,No
5,Uma Grewal,Female,25,2020,Pune University,MCA,Computer Applications,7.54,2,No,No,4,0,Hive | Flutter | Hadoop | Data Analysis,LinkedIn,Zoho,Retail,Systems Engineer,Contract,Bengaluru,2024-05-11,Shortlisted,,2,,508,78,No,No
6,Siddharth Kulkarni,Male,21,2020,Osmania University Hyderabad,M.Tech,Computer Science,9.9,1,No,No,4,1,PHP | Hadoop | Figma | Excel,Glassdoor,MakeMyTrip,Media & Entertainment,Product Manager,Full-time,Mysuru,2024-08-23,Shortlisted,,34,,1899,62,N/A,No
7,Rohan Bhatt,Male,23,2024,VIT Vellore,B.Tech,Electronics & Communication,8.69,0,No,No,6,2,Flutter | Tableau,Naukri,Cure.fit,EdTech,Cybersecurity Analyst,Full-time,Visakhapatnam,2024-03-26,Online Assessment,,31,,1717,67,N/A,Yes
8,Hema Sengupta,Female,26,2023,MDI Gurgaon,B.Tech,Electronics & Communication,5.77,2,No,Yes,1,1,AWS | Figma | Deep Learning | Problem Solving | REST APIs,Naukri,Deloitte,Telecom,Technical Support Engineer,Part-time,Lucknow,2021-07-20,Applied,,35,,110,60,N/A,No
9,Gargi Choudhury,Female,27,2023,NIT Calicut,MCA,Computer Applications,6.24,0,No,Yes,6,3,Figma | Linux | Networking | Ruby on Rails,Cutshort,Cure.fit,E-commerce,DevOps Engineer,Full-time,Mumbai,2024-04-01,HR Interview,4,4,,1334,58,N/A,Yes
10,Jagdish Pandey,Male,20,2024,IIT Kanpur,BCA,Computer Applications,8.18,1,No,No,4,1,Spark | Node.js,Indeed,Angel One,Manufacturing,Recruiter,Full-time,Mysuru,2022-10-06,Applied,,26,,586,97,N/A,No
11,Nikhil Patel,Male,27,2024,Symbiosis Pune,B.E.,Computer Science,7.92,2,No,Yes,0,1,Leadership | Machine Learning | Selenium | Laravel,AngelList,Upstox,IT/Software,iOS Developer,Internship,Gurugram,2024-09-20,Applied,,9,,1133,62,N/A,No
12,Esha Jadhav,Female,24,2024,NIT Calicut,MBA,Marketing,8.59,2,No,Yes,6,0,Hive | Figma,Campus Placement,Cognizant,IT/Software,HR Executive,Internship,Remote,2022-06-21,Applied,,29,,2309,100,N/A,No
13,Nikhil Dhillon,Male,22,2024,IIT Madras,MBA,Business Analytics,7.99,3,No,Yes,6,0,Excel | MATLAB | Tableau | R,LinkedIn,Mu Sigma,Automotive,Database Administrator,Full-time,Ahmedabad,2021-11-29,Withdrawn,,12,,1738,56,Yes,No
14,Ojaswini Chopra,Female,23,2022,NIT Trichy,B.E.,Civil,9.42,3,No,No,3,2,Power BI | Java | R | Data Analysis,Indeed,Citi India,AgriTech,Business Analyst,Contract,Noida,2022-12-21,Technical Interview,1,26,,2833,89,N/A,No
15,Abhinav Srivastava,Male,24,2020,IIT Hyderabad,BBA,HR,7.06,2,No,No,0,3,Communication | C++ | Bash Scripting,Indeed,Angel One,FinTech,Cybersecurity Analyst,Internship,Patna,2024-10-05,Applied,,28,,336,97,N/A,No
16,Charmi Malhotra,Female,24,2024,Delhi University,MCA,Computer Applications,7.31,2,No,Yes,5,3,Spark | TypeScript | Teamwork,Indeed,Infosys,HealthTech,Product Manager,Full-time,Visakhapatnam,2024-05-27,Technical Interview,5,30,,1859,83,N/A,No
17,Lakshay Sethi,Male,21,2022,COEP Pune,BBA,Finance,5.92,1,No,Yes,1,1,C++ | Tableau,Shine,Deloitte,Telecom,Operations Analyst,Part-time,Visakhapatnam,2022-02-03,HR Interview,1,25,,2074,80,N/A,No
18,Tanvi Sengupta,Female,23,2021,IIM Bangalore,B.Com,Accounting,5.73,1,No,Yes,1,3,Selenium | Spark | Networking | Flutter,Indeed,Urban Company,E-commerce,Database Administrator,Part-time,Bhopal,2022-06-15,HR Interview,2,41,,1185,88,N/A,No
19,Nikhil Agarwal,Male,23,2022,Bangalore University,MBA,Business Analytics,5.86,1,No,No,5,1,PyTorch | Docker,Internshala,Fractal Analytics,IT/Software,DevOps Engineer,Part-time,Indore,2024-04-11,Rejected,3,2,,2408,79,N/A,No
20,Qasim Majumdar,Male,23,2023,VIT Vellore,B.Sc (IT),Information Technology,7.69,3,No,No,3,5,REST APIs | AWS | Spark,Internshala,Coforge,Automotive,Sales Executive,Internship,Delhi NCR,2024-08-09,Shortlisted,,30,,794,58,N/A,No
21,Arnav Bhatnagar,Male,25,2023,Anna University Chennai,MCA,Computer Applications,9.26,3,Yes,No,2,1,Scala | C++,HackerEarth,Goldman Sachs,EdTech,Content Writer,Full-time,Pune,2022-05-04,Applied,,43,,518,91,N/A,No
22,Zaid Negi,Male,22,2024,IIEST Shibpur,B.E.,Electronics,9.84,0,No,No,4,5,TensorFlow | Bash Scripting | Data Analysis | React | GraphQL,Cutshort,Goldman Sachs,Banking & Finance,Data Scientist,Internship,Mysuru,2024-05-14,Offer,3,37,34090,218,77,N/A,No
23,Darshan Chaudhary,Male,20,2023,IIM Calcutta,M.Tech,Computer Science,7.45,2,No,No,5,1,Deep Learning | Networking | PHP | Scala | Problem Solving,Unstop,Practo,Telecom,Operations Analyst,Internship,Visakhapatnam,2022-07-04,Shortlisted,,16,,404,72,N/A,No
24,Brijesh Lodha,Male,26,2022,IIT Delhi,M.Tech,AI/ML,6.32,1,No,Yes,2,4,Ruby on Rails | Python | PHP | Data Analysis,LinkedIn,Mu Sigma,Telecom,Cybersecurity Analyst,Internship,Vadodara,2023-09-03,Technical Interview,2,32,,1885,56,Yes,No
25,Raghav Negi,Male,27,2024,RV College Bangalore,MBA,Operations,9.98,2,No,No,2,2,MongoDB | Networking | Data Analysis,Naukri,Ola,EdTech,DevOps Engineer,Internship,Noida,2024-04-22,Withdrawn,,34,,2494,73,N/A,No
26,Zara Naik,Female,25,2021,Delhi University,B.Tech,Mechanical Engineering,6.73,0,No,No,1,5,SQL | Python | TypeScript | Leadership | Kotlin,Indeed,Tata Steel,E-commerce,Data Analyst,Full-time,Nagpur,2021-08-22,Offer,1,32,720172,353,91,N/A,No
27,Onkar Garg,Male,21,2021,BITS Pilani,B.Com,Accounting,8.23,1,No,Yes,3,2,Teamwork | TypeScript | Spark | JavaScript | Cybersecurity,LinkedIn,Nykaa,Logistics,DevOps Engineer,Full-time,Delhi NCR,2021-11-18,Applied,,36,,357,65,Yes,No
28,Zara Kumar,Female,23,2022,Kalinga University,B.Sc (IT),Information Technology,5.82,1,No,No,5,4,Figma | MongoDB | Laravel,Naukri,Freshworks,HealthTech,Content Writer,Full-time,Mumbai,2021-12-06,Offer,3,37,873948,1232,83,N/A,Yes
29,Uma Ramachandran,Female,27,2023,IIT Kanpur,BBA,Business Administration,9.5,2,No,Yes,1,5,MATLAB | Problem Solving,Internshala,Unacademy,Telecom,Network Engineer,Internship,Noida,2022-01-07,Withdrawn,,28,,2650,86,N/A,No
30,Tejas Rastogi,Male,25,2025,IIT Hyderabad,BCA,Computer Applications,7.35,3,No,No,6,4,REST APIs | Node.js,Naukri,Siemens India,Banking & Finance,Systems Engineer,Full-time,Surat,2021-01-03,Technical Interview,5,35,,1942,81,N/A,Yes
31,Furqan Oberoi,Male,27,2020,NIT Calicut,B.Sc (IT),Information Technology,9.67,3,No,No,0,5,Bash Scripting | Machine Learning | Teamwork,Internshala,Mu Sigma,Banking & Finance,ML Engineer,Contract,Hyderabad,2023-08-04,Rejected,3,42,,680,86,N/A,No
32,Bharat Majumdar,Male,27,2023,SRM University Chennai,M.Tech,Software Engineering,6.15,1,No,No,1,0,PyTorch | Docker | Flutter | Problem Solving,Campus Placement,Samsung India,Media & Entertainment,Product Manager,Part-time,Visakhapatnam,2024-09-13,Online Assessment,,10,,1879,89,N/A,No
33,Lalit Mathur,Male,27,2022,MDI Gurgaon,B.Sc (CS),Computer Science,8.07,1,No,Yes,2,5,Bash Scripting | Spring Boot | R | Scala | Azure,Indeed,Tech Mahindra,E-commerce,Network Engineer,Contract,Jaipur,2021-07-25,Offer,2,7,711694,2204,84,N/A,Yes
34,Ekansh Das,Male,21,2023,IIM Ahmedabad,B.Sc (IT),Information Technology,8.3,3,No,No,6,5,Git | Hive | Bash Scripting | Swift | Laravel,LinkedIn,IBM India,EdTech,Android Developer,Internship,Gurugram,2022-04-11,HR Interview,2,28,,453,95,No,Yes
35,Deepika Mehta,Female,25,2020,Pune University,MBA,HR,7.44,1,No,No,6,1,Deep Learning | Node.js | Spark,Referral,Axis Bank,Telecom,Recruiter,Internship,Ahmedabad,2023-08-03,Technical Interview,4,30,,1095,97,N/A,Yes
36,Eisha Swamy,Female,22,2020,IIIT Allahabad,MBA,Business Analytics,6.85,3,No,No,2,1,Kotlin | SQL | Tableau | Spring Boot | TypeScript,Naukri,Intel India,Media & Entertainment,Product Manager,Full-time,Mysuru,2023-03-22,Applied,,37,,2859,58,N/A,No
37,Yukti Naik,Female,25,2021,BIT Mesra Ranchi,B.Sc (CS),Computer Science,8.55,1,No,No,5,0,Selenium | C++ | GraphQL | Django,AngelList,Google India,HealthTech,HR Executive,Internship,Chennai,2022-02-16,Applied,,35,,1548,88,N/A,No
38,Lakshay Patil,Male,27,2022,JNTUH Hyderabad,MBA,Finance,7.61,0,No,No,6,5,Ruby on Rails | Django | Node.js | TensorFlow | Python,Naukri,Zomato,Telecom,Marketing Analyst,Internship,Mysuru,2022-06-21,Online Assessment,,41,,1571,61,N/A,No
